번호,관리기관,버스정류장명,경도,위도,버스정류장 외국어 음성안내 정보시스템 설치여부,관리기관명,데이터기준일자
412,경기도 양주시,모랫말,126.9978973,37.80228492,N,양주시 대중교통과,2023-08-23
413,경기도 양주시,남방동.남방2통,127.0367016,37.76840407,N,양주시 대중교통과,2023-08-23
414,경기도 양주시,방성리주공휴먼시아,126.9998712,37.80045852,N,양주시 대중교통과,2023-08-23
415,경기도 양주시,GS자이2단지,127.1014546,37.79579882,N,양주시 대중교통과,2023-08-23
416,경기도 양주시,방성리주공휴먼시아,126.9999781,37.8003352,N,양주시 대중교통과,2023-08-23
417,경기도 양주시,세아1차아파트,126.9908826,37.79699624,N,양주시 대중교통과,2023-08-23
418,경기도 양주시,백석교회,127.0006739,37.78742471,N,양주시 대중교통과,2023-08-23
419,경기도 양주시,양주변전소,126.9228181,37.6839551,N,양주시 대중교통과,2023-08-23
420,경기도 양주시,어둔동저수지,127.0163165,37.77747368,N,양주시 대중교통과,2023-08-23
421,경기도 양주시,가납초교,126.9835855,37.81883132,N,양주시 대중교통과,2023-08-23
422,경기도 양주시,냅떼,126.9662745,37.8011644,N,양주시 대중교통과,2023-08-23
423,경기도 양주시,한마음수련장입구,127.0207591,37.77243894,N,양주시 대중교통과,2023-08-23
424,경기도 양주시,홍죽3리마을회관,126.9560755,37.80423646,N,양주시 대중교통과,2023-08-23
425,경기도 양주시,축산위생연구소,127.0671243,37.8029025,N,양주시 대중교통과,2023-08-23
426,경기도 양주시,용바위식당,126.9969118,37.91042532,N,양주시 대중교통과,2023-08-23
427,경기도 양주시,용바위식당,126.9971386,37.91027532,N,양주시 대중교통과,2023-08-23
428,경기도 양주시,백석농협복지지점,126.9872011,37.7865953,N,양주시 대중교통과,2023-08-23
429,경기도 양주시,재궁마을.천생연분마을,126.9270449,37.69305857,N,양주시 대중교통과,2023-08-23
430,경기도 양주시,장자원유원지,126.9257209,37.68853046,N,양주시 대중교통과,2023-08-23
431,경기도 양주시,원각사,126.9846724,37.72042234,N,양주시 대중교통과,2023-08-23
432,경기도 양주시,윗가마골,126.9771989,37.74081966,N,양주시 대중교통과,2023-08-23
433,경기도 양주시,가납초교,126.9831299,37.81866071,N,양주시 대중교통과,2023-08-23
434,경기도 양주시,어둔동마을회관,127.0178816,37.7754585,N,양주시 대중교통과,2023-08-23
435,경기도 양주시,한강섬유,127.0161006,37.86988777,N,양주시 대중교통과,2023-08-23
436,경기도 양주시,장거리교차로.한양수자인1단지,127.0817273,37.8038529,N,양주시 대중교통과,2023-08-23
437,경기도 양주시,건영슈퍼,126.9878406,37.85536701,N,양주시 대중교통과,2023-08-23
438,경기도 양주시,낙낙동저수지,127.0138854,37.89472965,N,양주시 대중교통과,2023-08-23
439,경기도 양주시,건영슈퍼,126.9879497,37.85559398,N,양주시 대중교통과,2023-08-23
440,경기도 양주시,나누리공원,127.0773628,37.79356674,N,양주시 대중교통과,2023-08-23
441,경기도 양주시,만송동중촌교,127.0918493,37.78986165,N,양주시 대중교통과,2023-08-23
442,경기도 양주시,만송동중촌교,127.0921926,37.78983621,N,양주시 대중교통과,2023-08-23
443,경기도 양주시,회만동,127.0962017,37.79201244,N,양주시 대중교통과,2023-08-23
444,경기도 양주시,회만동,127.0957297,37.7915207,N,양주시 대중교통과,2023-08-23
445,경기도 양주시,MBC문화동산,127.098518,37.79355186,N,양주시 대중교통과,2023-08-23
446,경기도 양주시,MBC문화동산,127.0981103,37.79361968,N,양주시 대중교통과,2023-08-23
447,경기도 양주시,푸르지오아파트,127.0557489,37.81221309,N,양주시 대중교통과,2023-08-23
448,경기도 양주시,푸르지오아파트,127.0558835,37.81128333,N,양주시 대중교통과,2023-08-23
449,경기도 양주시,도둔초등학교,127.0551657,37.81373487,N,양주시 대중교통과,2023-08-23
450,경기도 양주시,도둔초등학교,127.0548454,37.81430195,N,양주시 대중교통과,2023-08-23
451,경기도 양주시,삼숭교차로,127.1041569,37.81004685,N,양주시 대중교통과,2023-08-23
452,경기도 양주시,우러리.공병대앞,126.947171,37.857437,N,양주시 대중교통과,2023-08-23
453,경기도 양주시,감골입구,126.955791,37.910836,N,양주시 대중교통과,2023-08-23
454,경기도 양주시,신암리,126.962609,37.90364,N,양주시 대중교통과,2023-08-23
455,경기도 양주시,윗보메기.공단,126.963561,37.849332,N,양주시 대중교통과,2023-08-23
456,경기도 양주시,연대앞,126.969066,37.839467,N,양주시 대중교통과,2023-08-23
457,경기도 양주시,석우리,126.976907,37.833779,N,양주시 대중교통과,2023-08-23
458,경기도 양주시,상수공단,126.98065,37.874262,N,양주시 대중교통과,2023-08-23
459,경기도 양주시,가납사거리,126.98549,37.819356,N,양주시 대중교통과,2023-08-23
460,경기도 양주시,구암리.뉴옵틱스,126.974995,37.889439,N,양주시 대중교통과,2023-08-23
461,경기도 양주시,신암아파트,126.963318,37.901306,N,양주시 대중교통과,2023-08-23
462,경기도 양주시,은남통합지소.은현주유소,127.007339,37.869465,N,양주시 대중교통과,2023-08-23
463,경기도 양주시,구세당약방,126.986144,37.871842,N,양주시 대중교통과,2023-08-23
464,경기도 양주시,상수2교차로,127.004628,37.871463,N,양주시 대중교통과,2023-08-23
465,경기도 양주시,운암1리마을회관,127.012812,37.868844,N,양주시 대중교통과,2023-08-23
466,경기도 양주시,화학대,127.023188,37.867303,N,양주시 대중교통과,2023-08-23
467,경기도 양주시,시립공원묘지,126.977817,37.831875,N,양주시 대중교통과,2023-08-23
468,경기도 양주시,게너미삼거리,126.950112,37.817532,N,양주시 대중교통과,2023-08-23
469,경기도 양주시,막은골삼거리,127.041054,37.784281,N,양주시 대중교통과,2023-08-23
470,경기도 양주시,연곡2리방앗간,126.95547,37.821271,N,양주시 대중교통과,2023-08-23
471,경기도 양주시,감골입구,126.955658,37.910878,N,양주시 대중교통과,2023-08-23
472,경기도 양주시,진웅산업,126.989555,37.813455,N,양주시 대중교통과,2023-08-23
473,경기도 양주시,삼수검문소,126.989877,37.872003,N,양주시 대중교통과,2023-08-23
474,경기도 양주시,상수검문소,126.990233,37.872041,N,양주시 대중교통과,2023-08-23
475,경기도 양주시,유양공단사무실,127.016422,37.790721,N,양주시 대중교통과,2023-08-23
476,경기도 양주시,연곡회관,126.951745,37.819358,N,양주시 대중교통과,2023-08-23
477,경기도 양주시,사격장.광진공업사,126.960369,37.852804,N,양주시 대중교통과,2023-08-23
478,경기도 양주시,국군복지단양주지원본부,127.037551,37.784385,N,양주시 대중교통과,2023-08-23
479,경기도 양주시,가납사거리,126.986557,37.820101,N,양주시 대중교통과,2023-08-23
480,경기도 양주시,기우리,126.920879,37.806519,N,양주시 대중교통과,2023-08-23
481,경기도 양주시,비암1리마을회관,126.930564,37.812046,N,양주시 대중교통과,2023-08-23
482,경기도 양주시,삼박골,126.939161,37.81496,N,양주시 대중교통과,2023-08-23
483,경기도 양주시,남문중,126.977809,37.896554,N,양주시 대중교통과,2023-08-23
484,경기도 양주시,중앙폐차장,127.030105,37.857102,N,양주시 대중교통과,2023-08-23
485,경기도 양주시,해유령,126.945944,37.81634,N,양주시 대중교통과,2023-08-23
486,경기도 양주시,가래비시장,126.984343,37.82392,N,양주시 대중교통과,2023-08-23
487,경기도 양주시,광적119안전센터,126.982156,37.823558,N,양주시 대중교통과,2023-08-23
488,경기도 양주시,가납사거리,126.984757,37.819751,N,양주시 대중교통과,2023-08-23
489,경기도 양주시,광적119안전센터,126.982081,37.823425,N,양주시 대중교통과,2023-08-23
490,경기도 양주시,승마장입구,127.047655,37.793409,N,양주시 대중교통과,2023-08-23
491,경기도 양주시,유승한내들9단지.한양수자인2단지,127.082031,37.795485,N,양주시 대중교통과,2023-08-23
492,경기도 양주시,부곡2리.청담에비뉴,126.976405,37.723651,N,양주시 대중교통과,2023-08-23
493,경기도 양주시,제일풍경채,127.09178,37.810874,N,양주시 대중교통과,2023-08-23
494,경기도 양주시,가래비주유소,126.987937,37.822141,N,양주시 대중교통과,2023-08-23
495,경기도 양주시,비석거리,126.918642,37.673478,N,양주시 대중교통과,2023-08-23
